GEOID,median_income,total_commuters,commute_30_34min,commute_35_39min,commute_40_44min,commute_45_59min,commute_60_89min,commute_90plus_min,workers_16plus,workers_no_vehicle,commute_mode_total,transit_commuters,disability_pop,medicaid_total,medicaid_below_poverty,medicaid_above_poverty,median_gross_rent,rent_burden_35_39pct,rent_burden_40_49pct,rent_burden_50plus_pct,rent_burden_not_computed,total_population,school_enrollment_public,educational_attainment_base,total_households,households_no_vehicle,pct_transit_commuters,pct_no_vehicle,pct_rent_burdened_severe,hourly_wage_estimate,stop_count,route_count,transit_score,is_transit_desert,crash_count,total_fatalities,total_jobs,housing_cost_ratio,transport_cost_ratio,ht_combined_ratio,ht_above_threshold,disability_actual,school_age_pop_5_17,elderly_65plus,single_parent_hh
39049000710,50353.0,1393.0,219.0,92.0,31.0,21.0,8.0,61.0,1565.0,145.0,1565.0,110.0,3010.0,3010.0,171.0,379.0,1131.0,103.0,32.0,83.0,194.0,3010.0,551.0,2095.0,1292.0,137.0,0.0703,0.0927,0.0642,24.21,9.0,3.0,0.0172,False,0.0,0.0,1256,0.2695370682978174,0.1838698786566838,0.4534069469545012,True,304.0,512.0,404.0,179.0
39049000720,43198.0,850.0,104.0,8.0,8.0,14.0,0.0,31.0,1041.0,96.0,1041.0,37.0,2835.0,2835.0,420.0,243.0,1149.0,49.0,32.0,85.0,121.0,2835.0,892.0,1651.0,1074.0,275.0,0.0355,0.0922,0.0791,20.77,13.0,2.0,0.0166,False,0.0,0.0,909,0.3191814435853511,0.2144173341358396,0.5335987777211908,True,496.0,835.0,233.0,253.0
39049000730,34792.0,1083.0,33.0,0.0,11.0,0.0,0.0,20.0,1138.0,483.0,1138.0,93.0,3353.0,3353.0,324.0,331.0,1032.0,34.0,25.0,92.0,250.0,3353.0,894.0,2187.0,1369.0,470.0,0.0817,0.4244,0.0672,16.73,8.0,2.0,0.0102,False,3.0,4.0,1106,0.3559438951483099,0.1898367440790986,0.5457806392274086,True,485.0,598.0,358.0,225.0
39049000810,64162.0,1123.0,217.0,12.0,26.0,12.0,0.0,9.0,1265.0,0.0,1265.0,11.0,2892.0,2892.0,443.0,260.0,1010.0,7.0,0.0,17.0,146.0,2892.0,842.0,1814.0,1167.0,114.0,0.0087,0.0,0.0146,30.85,8.0,3.0,0.0153,False,0.0,0.0,1162,0.1888968548361958,0.1558554907889404,0.3447523456251363,False,409.0,618.0,283.0,130.0
39049000820,70329.0,1713.0,401.0,0.0,34.0,39.0,79.0,28.0,2114.0,71.0,2114.0,127.0,3687.0,3687.0,298.0,226.0,1132.0,67.0,18.0,53.0,89.0,3687.0,693.0,2763.0,1579.0,114.0,0.0601,0.0336,0.0336,33.81,4.0,2.0,0.0051,False,0.0,0.0,1285,0.1931493409546559,0.1383668188087417,0.3315161597633977,False,639.0,576.0,503.0,113.0
39049000910,38365.0,855.0,50.0,0.0,0.0,19.0,0.0,44.0,1032.0,14.0,1032.0,0.0,3398.0,3398.0,479.0,303.0,1173.0,58.0,46.0,106.0,202.0,3398.0,989.0,1981.0,1275.0,317.0,0.0,0.0136,0.0831,18.44,10.0,4.0,0.0255,False,0.0,0.0,1304,0.3668969112472305,0.257818323993223,0.6247152352404536,True,546.0,858.0,382.0,376.0
39049000920,29595.0,546.0,52.0,0.0,0.0,4.0,0.0,0.0,639.0,28.0,639.0,12.0,2039.0,2039.0,357.0,151.0,1132.0,59.0,13.0,45.0,169.0,2039.0,553.0,1174.0,750.0,94.0,0.0188,0.0438,0.06,14.23,6.0,3.0,0.0115,False,0.0,0.0,791,0.4589964521033958,0.3260550768710931,0.7850515289744889,True,199.0,528.0,156.0,159.0
39049001000,37096.0,2935.0,238.0,162.0,146.0,51.0,0.0,0.0,3163.0,171.0,3164.0,270.0,4788.0,4788.0,101.0,183.0,1341.0,89.0,109.0,130.0,820.0,4802.0,2593.0,2101.0,2037.0,189.0,0.0853,0.0541,0.0638,17.83,8.0,3.0,0.0153,False,0.0,0.0,1887,0.433793400905758,0.25790381712314,0.691697218028898,True,522.0,123.0,131.0,108.0
39049001110,24854.0,1503.0,72.0,29.0,0.0,0.0,9.0,0.0,1510.0,138.0,1635.0,32.0,3382.0,3382.0,6.0,145.0,1268.0,35.0,95.0,82.0,624.0,3382.0,2896.0,497.0,1217.0,278.0,0.0196,0.0914,0.0674,11.95,6.0,3.0,0.0115,False,0.0,0.0,721,0.6122153375714171,0.3729299106783616,0.9851452482497788,True,268.0,21.0,11.0,0.0
39049001121,,2380.0,61.0,14.0,25.0,53.0,8.0,12.0,92.0,0.0,3056.0,208.0,10695.0,10695.0,67.0,141.0,634.0,0.0,0.0,0.0,23.0,10701.0,10660.0,64.0,64.0,6.0,0.0681,0.0,0.0,,10.0,6.0,0.0383,False,1.0,1.0,924,,,,False,1082.0,163.0,0.0,3.0
39049001122,43219.0,656.0,61.0,8.0,0.0,0.0,0.0,0.0,477.0,47.0,855.0,120.0,2352.0,2352.0,26.0,25.0,1276.0,4.0,13.0,71.0,121.0,2352.0,1992.0,526.0,529.0,44.0,0.1404,0.0985,0.1342,20.78,15.0,4.0,0.0383,False,1.0,2.0,476,0.3542886230593026,0.2131469955343714,0.5674356185936741,True,194.0,39.0,114.0,14.0
39049001200,33650.0,1397.0,232.0,17.0,49.0,21.0,0.0,0.0,1674.0,190.0,1768.0,39.0,3497.0,3497.0,18.0,28.0,1291.0,68.0,28.0,91.0,537.0,3497.0,2718.0,598.0,1156.0,194.0,0.0221,0.1135,0.0787,16.18,5.0,5.0,0.0159,False,0.0,0.0,1030,0.4603863298662704,0.2701931649331352,0.7305794947994056,True,382.0,38.0,40.0,0.0
39049001301,50977.0,1462.0,11.0,0.0,0.0,15.0,133.0,0.0,1766.0,52.0,1776.0,8.0,2870.0,2870.0,4.0,85.0,1232.0,62.0,71.0,99.0,312.0,2870.0,1499.0,1060.0,1092.0,72.0,0.0045,0.0294,0.0907,24.51,1.0,1.0,0.0006,False,0.0,0.0,757,0.2900131431822194,0.1915530533377797,0.4815661965199992,True,382.0,133.0,163.0,33.0
39049001302,35121.0,1136.0,90.0,0.0,0.0,27.0,0.0,0.0,909.0,259.0,1249.0,80.0,2602.0,2602.0,33.0,88.0,1259.0,39.0,12.0,80.0,308.0,2602.0,2280.0,144.0,597.0,130.0,0.0641,0.2849,0.134,16.89,4.0,5.0,0.0128,False,0.0,0.0,465,0.4301699837703938,0.2198342871786111,0.6500042709490049,True,346.0,60.0,0.0,0.0
39049001400,36053.0,500.0,29.0,33.0,4.0,0.0,1.0,0.0,542.0,30.0,546.0,10.0,1717.0,1717.0,75.0,176.0,1145.0,14.0,6.0,59.0,94.0,1717.0,641.0,927.0,548.0,69.0,0.0183,0.0554,0.1077,17.33,20.0,4.0,0.051,False,2.0,2.0,597,0.3811055945413696,0.2650764152775081,0.6461820098188777,True,306.0,495.0,138.0,225.0
39049001500,39022.0,534.0,15.0,0.0,19.0,32.0,15.0,0.0,640.0,32.0,640.0,37.0,2038.0,2038.0,241.0,52.0,1034.0,20.0,0.0,27.0,62.0,2038.0,653.0,1155.0,800.0,116.0,0.0578,0.05,0.0338,18.76,6.0,3.0,0.0115,False,0.0,0.0,619,0.3179744759366511,0.2460150684229409,0.563989544359592,True,200.0,555.0,304.0,231.0
39049001600,50227.0,1272.0,80.0,0.0,9.0,9.0,51.0,0.0,1487.0,280.0,1487.0,87.0,2769.0,2769.0,217.0,122.0,1517.0,54.0,85.0,80.0,308.0,2769.0,1029.0,1585.0,1302.0,260.0,0.0585,0.1883,0.0614,24.15,9.0,4.0,0.023,False,0.0,0.0,1214,0.3624345471559121,0.169104266629502,0.5315388137854142,True,468.0,368.0,28.0,234.0
39049001700,29219.0,1723.0,47.0,0.0,0.0,0.0,11.0,7.0,2136.0,152.0,2167.0,88.0,3987.0,3987.0,59.0,16.0,1313.0,193.0,71.0,92.0,726.0,3987.0,2389.0,1524.0,1836.0,369.0,0.0406,0.0712,0.0501,14.05,13.0,7.0,0.058,False,0.0,0.0,1058,0.5392381669461652,0.3227488962661282,0.8619870632122935,True,259.0,61.0,164.0,53.0
39049001810,23434.0,1395.0,38.0,0.0,14.0,0.0,22.0,0.0,1454.0,349.0,1733.0,34.0,3417.0,3417.0,37.0,22.0,1120.0,143.0,82.0,36.0,1019.0,3417.0,2245.0,1037.0,1729.0,409.0,0.0196,0.24,0.0208,11.27,6.0,5.0,0.0191,False,0.0,0.0,973,0.5735256464965435,0.3447981565247077,0.9183238030212512,True,336.0,0.0,35.0,19.0
39049001820,72713.0,1152.0,37.0,0.0,0.0,10.0,11.0,0.0,1742.0,184.0,1742.0,6.0,2259.0,2259.0,26.0,72.0,1299.0,33.0,70.0,62.0,233.0,2260.0,561.0,1887.0,1329.0,172.0,0.0034,0.1056,0.0467,34.96,20.0,7.0,0.0893,False,0.0,0.0,1311,0.2143770715002819,0.1259087095842559,0.3402857810845379,False,166.0,101.0,114.0,71.0
39049001901,66090.0,2031.0,139.0,68.0,24.0,79.0,25.0,0.0,2826.0,0.0,2826.0,55.0,3939.0,3939.0,19.0,28.0,1665.0,175.0,0.0,124.0,513.0,3939.0,730.0,3142.0,2421.0,256.0,0.0195,0.0,0.0512,31.77,29.0,4.0,0.074,False,0.0,0.0,1992,0.3023150249659555,0.151308821304282,0.4536238462702375,True,523.0,24.0,442.0,24.0
39049001902,59444.0,2813.0,136.0,40.0,48.0,37.0,60.0,160.0,3633.0,236.0,3633.0,36.0,4116.0,4116.0,19.0,27.0,1166.0,106.0,257.0,167.0,341.0,4116.0,430.0,3454.0,2819.0,256.0,0.0099,0.065,0.0592,28.58,22.0,3.0,0.0421,False,0.0,0.0,2523,0.235381199111769,0.1594778278716102,0.3948590269833792,False,250.0,89.0,308.0,74.0
39049002000,122167.0,1560.0,69.0,49.0,11.0,22.0,57.0,43.0,2200.0,24.0,2200.0,31.0,3070.0,3070.0,13.0,28.0,1427.0,72.0,37.0,35.0,99.0,3078.0,325.0,2667.0,1716.0,81.0,0.0141,0.0109,0.0204,58.73,6.0,1.0,0.0038,False,0.0,0.0,2046,0.1401687853511996,0.0811413884273167,0.2213101737785163,False,118.0,83.0,294.0,29.0
39049002100,84605.0,1451.0,86.0,0.0,40.0,10.0,13.0,0.0,2057.0,56.0,2059.0,25.0,2334.0,2334.0,0.0,85.0,1561.0,125.0,28.0,75.0,350.0,2334.0,467.0,1857.0,1660.0,66.0,0.0121,0.0272,0.0452,40.68,4.0,3.0,0.0077,False,0.0,0.0,1402,0.2214053542934814,0.1156243720820282,0.3370297263755097,False,190.0,69.0,133.0,46.0
39049002200,109514.0,2183.0,171.0,0.0,13.0,29.0,57.0,1.0,3240.0,121.0,3241.0,1.0,3501.0,3501.0,0.0,72.0,1838.0,121.0,30.0,44.0,240.0,3501.0,237.0,2991.0,2398.0,120.0,0.0003,0.0373,0.0183,52.65,13.0,5.0,0.0415,False,0.0,0.0,2349,0.201398907902186,0.0885877604689811,0.2899866683711671,False,176.0,17.0,148.0,0.0
39049002300,49139.0,760.0,65.0,0.0,13.0,0.0,3.0,0.0,880.0,24.0,880.0,16.0,1878.0,1878.0,134.0,180.0,1201.0,73.0,53.0,20.0,100.0,1878.0,403.0,1316.0,796.0,82.0,0.0182,0.0273,0.0251,23.62,20.0,4.0,0.051,False,1.0,1.0,759,0.2932904617513583,0.1990598099269419,0.4923502716783003,True,346.0,277.0,142.0,101.0
39049002510,45172.0,966.0,131.0,0.0,15.0,60.0,71.0,12.0,1094.0,14.0,1094.0,40.0,2756.0,2756.0,195.0,241.0,1207.0,48.0,68.0,0.0,165.0,2756.0,764.0,1880.0,1131.0,173.0,0.0366,0.0128,0.0,21.72,24.0,4.0,0.0612,False,2.0,2.0,1152,0.3206411051093598,0.219109182679536,0.5397502877888958,True,396.0,659.0,368.0,205.0
39049002520,68690.0,1046.0,112.0,10.0,0.0,13.0,8.0,0.0,1500.0,118.0,1571.0,17.0,2376.0,2376.0,91.0,50.0,990.0,38.0,0.0,0.0,206.0,2428.0,358.0,1915.0,1274.0,119.0,0.0108,0.0787,0.0,33.02,21.0,3.0,0.0402,False,0.0,0.0,1280,0.1729509390013102,0.1364157810452758,0.3093667200465861,False,451.0,221.0,416.0,109.0
